,title,author,theme,genre,volumes,info,img_element,paga_url
34,ドラゴンボール DRAGON BALL,鳥山明,SF・ファンタジー,少年マンガ,完結・全42巻,山奥に住む怪力で、メチャクチャ元気な孫悟空。ある日悟空は、七つ揃うとどんな願いも叶うという、ドラゴンボールを探すブルマに出会う。彼女とともに、悟空もハラハラドキドキの旅へ出発する！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088510909.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/13821
35,亜人,桜井画門,SF・ファンタジー,青年マンガ,完結・全17巻,「亜人」と呼ばれるその生物は「死なない」。高校生・永井圭はある日、交通事故で死ぬが、その直後に生き返った。それは、彼が亜人であり、人間ではないことを意味する。圭をとりまく環境は一変した。彼は人間たちから逃げ惑うことになる。友人のカイは怯える圭を助けるために駆けつけ、二人で人里を離れて山の中に逃げ込んだ。そんな彼に人間と敵対する亜人たちが接触してきた。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065229898.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/63458
36,幽☆遊☆白書,冨樫義博,SF・ファンタジー,少年マンガ,完結・全19巻,教師も手をやく不良の浦飯幽助。ある日子供を助けて事故にあい、幽霊になってしまう。予定外の死に閻魔大王は、生き返るための試練として、人の心を映す霊界獣の卵をかえすことを命じるが…！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/408871525X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16273
37,【推しの子】,赤坂アカ,ヒューマンドラマ,青年マンガ,既刊12巻,「この芸能界（せかい）において嘘は武器だ」　地方都市で、産婦人科医として働くゴロー。芸能界とは無縁の日々。一方、彼の“推し”のアイドル・星野アイは、スターダムを上り始めていた。そんな二人が“最悪”の出会いを果たし、運命が動き出す…!?　“赤坂アカ×横槍メンゴ”の豪華タッグが全く新しい切り口で“芸能界”を描く衝撃作開幕!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/408892780X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/122558
38,BLUE GIANT,石塚真一,ヒューマンドラマ,青年マンガ,完結・全10巻,"『岳』の石塚真一、最新渾身作!! 

ジャズに心打たれた高校3年生の宮本 大は、
川原でサックスを独り吹き続けている。
雨の日も猛暑の日も毎日毎晩、何年も。
「世界一のジャズプレーヤーになる…!!」
努力、才能、信念、環境、運…何が必要なのか。
無謀とも言える目標に、真摯に正面から向かい合う物語は
仙台、広瀬川から始まる。",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4091894607.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/69930
39,ヒカルの碁,ほったゆみ,ヒューマンドラマ,少年マンガ,完結・全23巻,ある日小6のヒカルは蔵で古い碁盤を見つける。その瞬間、碁盤に宿っていた平安の天才棋士・藤原佐為の霊がヒカルの意識の中に入り込んだ。佐為の囲碁に対する一途な想いが、徐々にヒカルを囲碁の世界へと導いていく…。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088735048.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16506
40,3月のライオン,羽海野チカ,恋愛・ラブコメ,青年マンガ,既刊17巻,その少年は、幼い頃すべてを失った。夢も家族も居場所も――。この物語は、そんな少年がすべてを取り戻すストーリー。その少年の職業は――やさしさ溢れるラブストーリー。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4592160274.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/78464
41,銀魂 ぎんたま,空知英秋,SF・ファンタジー,少年マンガ,完結・全77巻,江戸では、突如宙から舞い降りた異人「天人」の台頭と廃刀令により侍が衰退の一途をたどっていた。しかし一人、侍の魂を堅持する男が…。その名は坂田銀時。甘党＆無鉄砲なこの男が、腐った江戸を一刀両断…するかも！？,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088817206.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16641
42,よふかしのうた,コトヤマ,SF・ファンタジー,少年マンガ,既刊17巻,『だがしかし』コトヤマ待望の最新作!!　恋と青春は、夜に生まれる――　さあ、たのしい夜ふかしの時間だ！　不眠が続く中２・夜守コウは、初めて一人外に出た夜、美しい吸血鬼・七草ナズナと出会う。「今日に満足できるまで、夜ふかししてみろよ。少年」彼女との二人きりの夜ふかしが　コウの運命を大きく変えていく――　「これは、僕が、七草ナズナに恋をするための物語だ」眠れない夜を過ごす全ての人へ贈る――　真夜中のボーイ・ミーツ・ガール！　連載開始から超絶大反響!!　ふたり　たのし　よふかし　ラブストーリー開幕!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098526158.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/119801
43,アオアシ,小林有吾,スポーツ,青年マンガ,既刊32巻,"アオき原石よ、「Jユース」で飛翔せよ! 

愛媛に暮らす中学三年生・青井葦人(あおいアシト)。

粗削りながら、強烈なサッカーの才能を秘めているアシトだったが、
まっすぐすぎる性格が災いして、大きな挫折を経験することに―――

そんなアシトの前に、東京にある強豪Jクラブ「東京シティ・エスペリオン」の
ユースチーム監督・福田達也(ふくだたつや)が現れる。

アシトの無限の可能性を見抜いた福田は、
東京で開催される自チームのセレクションを受けるよう勧めて!?

将来、日本のサッカーに革命を起こすことになる少年の運命は、ここから急速に回り始める!!",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4098617056.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/70044
